Event,Desc
UNC_R3_RING_BL_USED.CW_ODD,"Counts the number of cycles that the BL ring is being used at this ring stop.  This includes when packets are passing by and when packets are being sunk, but does not include when packets are being sent from the ring stop.; Filters for the Clockwise and Odd ring polarity."
UNC_R3_RING_IV_USED.ANY,"Counts the number of cycles that the IV ring is being used at this ring stop.  This includes when packets are passing by and when packets are being sent, but does not include when packets are being sunk into the ring stop."
UNC_R3_RING_IV_USED.CW,"Counts the number of cycles that the IV ring is being used at this ring stop.  This includes when packets are passing by and when packets are being sent, but does not include when packets are being sunk into the ring stop."
UNC_R3_RING_SINK_STARVED.AK,Number of cycles the ringstop is in starvation (per ring)
UNC_R3_RxR_CYCLES_NE.HOM,Counts the number of cycles when the QPI Ingress is not empty.  This tracks one of the three rings that are used by the QPI agent.  This can be used in conjunction with the QPI Ingress Occupancy Accumulator event in order to calculate average queue occupancy.  Multiple ingress buffers can be tracked at a given time using multiple counters.; HOM Ingress Queue
UNC_R3_RxR_CYCLES_NE.NDR,Counts the number of cycles when the QPI Ingress is not empty.  This tracks one of the three rings that are used by the QPI agent.  This can be used in conjunction with the QPI Ingress Occupancy Accumulator event in order to calculate average queue occupancy.  Multiple ingress buffers can be tracked at a given time using multiple counters.; NDR Ingress Queue
UNC_R3_RxR_CYCLES_NE.SNP,Counts the number of cycles when the QPI Ingress is not empty.  This tracks one of the three rings that are used by the QPI agent.  This can be used in conjunction with the QPI Ingress Occupancy Accumulator event in order to calculate average queue occupancy.  Multiple ingress buffers can be tracked at a given time using multiple counters.; SNP Ingress Queue
UNC_R3_RxR_CYCLES_NE_VN1.DRS,Counts the number of cycles when the QPI VN1  Ingress is not empty.  This tracks one of the three rings that are used by the QPI agent.  This can be used in conjunction with the QPI VN1  Ingress Occupancy Accumulator event in order to calculate average queue occupancy.  Multiple ingress buffers can be tracked at a given time using multiple counters.; DRS Ingress Queue
UNC_R3_RxR_CYCLES_NE_VN1.HOM,Counts the number of cycles when the QPI VN1  Ingress is not empty.  This tracks one of the three rings that are used by the QPI agent.  This can be used in conjunction with the QPI VN1  Ingress Occupancy Accumulator event in order to calculate average queue occupancy.  Multiple ingress buffers can be tracked at a given time using multiple counters.; HOM Ingress Queue
UNC_R3_RxR_CYCLES_NE_VN1.NCB,Counts the number of cycles when the QPI VN1  Ingress is not empty.  This tracks one of the three rings that are used by the QPI agent.  This can be used in conjunction with the QPI VN1  Ingress Occupancy Accumulator event in order to calculate average queue occupancy.  Multiple ingress buffers can be tracked at a given time using multiple counters.; NCB Ingress Queue
UNC_R3_RxR_CYCLES_NE_VN1.NCS,Counts the number of cycles when the QPI VN1  Ingress is not empty.  This tracks one of the three rings that are used by the QPI agent.  This can be used in conjunction with the QPI VN1  Ingress Occupancy Accumulator event in order to calculate average queue occupancy.  Multiple ingress buffers can be tracked at a given time using multiple counters.; NCS Ingress Queue
UNC_R3_RxR_CYCLES_NE_VN1.NDR,Counts the number of cycles when the QPI VN1  Ingress is not empty.  This tracks one of the three rings that are used by the QPI agent.  This can be used in conjunction with the QPI VN1  Ingress Occupancy Accumulator event in order to calculate average queue occupancy.  Multiple ingress buffers can be tracked at a given time using multiple counters.; NDR Ingress Queue
UNC_R3_RxR_CYCLES_NE_VN1.SNP,Counts the number of cycles when the QPI VN1  Ingress is not empty.  This tracks one of the three rings that are used by the QPI agent.  This can be used in conjunction with the QPI VN1  Ingress Occupancy Accumulator event in order to calculate average queue occupancy.  Multiple ingress buffers can be tracked at a given time using multiple counters.; SNP Ingress Queue
UNC_R3_RxR_INSERTS.DRS,Counts the number of allocations into the QPI Ingress.  This tracks one of the three rings that are used by the QPI agent.  This can be used in conjunction with the QPI Ingress Occupancy Accumulator event in order to calculate average queue latency.  Multiple ingress buffers can be tracked at a given time using multiple counters.; DRS Ingress Queue
UNC_R3_RxR_INSERTS.HOM,Counts the number of allocations into the QPI Ingress.  This tracks one of the three rings that are used by the QPI agent.  This can be used in conjunction with the QPI Ingress Occupancy Accumulator event in order to calculate average queue latency.  Multiple ingress buffers can be tracked at a given time using multiple counters.; HOM Ingress Queue
UNC_R3_RxR_INSERTS.NCB,Counts the number of allocations into the QPI Ingress.  This tracks one of the three rings that are used by the QPI agent.  This can be used in conjunction with the QPI Ingress Occupancy Accumulator event in order to calculate average queue latency.  Multiple ingress buffers can be tracked at a given time using multiple counters.; NCB Ingress Queue
UNC_R3_RxR_INSERTS.NCS,Counts the number of allocations into the QPI Ingress.  This tracks one of the three rings that are used by the QPI agent.  This can be used in conjunction with the QPI Ingress Occupancy Accumulator event in order to calculate average queue latency.  Multiple ingress buffers can be tracked at a given time using multiple counters.; NCS Ingress Queue
UNC_R3_RxR_INSERTS.NDR,Counts the number of allocations into the QPI Ingress.  This tracks one of the three rings that are used by the QPI agent.  This can be used in conjunction with the QPI Ingress Occupancy Accumulator event in order to calculate average queue latency.  Multiple ingress buffers can be tracked at a given time using multiple counters.; NDR Ingress Queue
UNC_R3_RxR_INSERTS.SNP,Counts the number of allocations into the QPI Ingress.  This tracks one of the three rings that are used by the QPI agent.  This can be used in conjunction with the QPI Ingress Occupancy Accumulator event in order to calculate average queue latency.  Multiple ingress buffers can be tracked at a given time using multiple counters.; SNP Ingress Queue
UNC_R3_RxR_INSERTS_VN1.DRS,Counts the number of allocations into the QPI VN1  Ingress.  This tracks one of the three rings that are used by the QPI agent.  This can be used in conjunction with the QPI VN1  Ingress Occupancy Accumulator event in order to calculate average queue latency.  Multiple ingress buffers can be tracked at a given time using multiple counters.; DRS Ingress Queue
UNC_R3_RxR_INSERTS_VN1.HOM,Counts the number of allocations into the QPI VN1  Ingress.  This tracks one of the three rings that are used by the QPI agent.  This can be used in conjunction with the QPI VN1  Ingress Occupancy Accumulator event in order to calculate average queue latency.  Multiple ingress buffers can be tracked at a given time using multiple counters.; HOM Ingress Queue
UNC_R3_RxR_INSERTS_VN1.NCB,Counts the number of allocations into the QPI VN1  Ingress.  This tracks one of the three rings that are used by the QPI agent.  This can be used in conjunction with the QPI VN1  Ingress Occupancy Accumulator event in order to calculate average queue latency.  Multiple ingress buffers can be tracked at a given time using multiple counters.; NCB Ingress Queue
UNC_R3_RxR_INSERTS_VN1.NCS,Counts the number of allocations into the QPI VN1  Ingress.  This tracks one of the three rings that are used by the QPI agent.  This can be used in conjunction with the QPI VN1  Ingress Occupancy Accumulator event in order to calculate average queue latency.  Multiple ingress buffers can be tracked at a given time using multiple counters.; NCS Ingress Queue
UNC_R3_RxR_INSERTS_VN1.NDR,Counts the number of allocations into the QPI VN1  Ingress.  This tracks one of the three rings that are used by the QPI agent.  This can be used in conjunction with the QPI VN1  Ingress Occupancy Accumulator event in order to calculate average queue latency.  Multiple ingress buffers can be tracked at a given time using multiple counters.; NDR Ingress Queue
UNC_R3_RxR_INSERTS_VN1.SNP,Counts the number of allocations into the QPI VN1  Ingress.  This tracks one of the three rings that are used by the QPI agent.  This can be used in conjunction with the QPI VN1  Ingress Occupancy Accumulator event in order to calculate average queue latency.  Multiple ingress buffers can be tracked at a given time using multiple counters.; SNP Ingress Queue
UNC_R3_RxR_OCCUPANCY_VN1.DRS,Accumulates the occupancy of a given QPI VN1  Ingress queue in each cycles.  This tracks one of the three ring Ingress buffers.  This can be used with the QPI VN1  Ingress Not Empty event to calculate average occupancy or the QPI VN1  Ingress Allocations event in order to calculate average queuing latency.; DRS Ingress Queue
UNC_R3_RxR_OCCUPANCY_VN1.HOM,Accumulates the occupancy of a given QPI VN1  Ingress queue in each cycles.  This tracks one of the three ring Ingress buffers.  This can be used with the QPI VN1  Ingress Not Empty event to calculate average occupancy or the QPI VN1  Ingress Allocations event in order to calculate average queuing latency.; HOM Ingress Queue
UNC_R3_RxR_OCCUPANCY_VN1.NCB,Accumulates the occupancy of a given QPI VN1  Ingress queue in each cycles.  This tracks one of the three ring Ingress buffers.  This can be used with the QPI VN1  Ingress Not Empty event to calculate average occupancy or the QPI VN1  Ingress Allocations event in order to calculate average queuing latency.; NCB Ingress Queue
UNC_R3_RxR_OCCUPANCY_VN1.NCS,Accumulates the occupancy of a given QPI VN1  Ingress queue in each cycles.  This tracks one of the three ring Ingress buffers.  This can be used with the QPI VN1  Ingress Not Empty event to calculate average occupancy or the QPI VN1  Ingress Allocations event in order to calculate average queuing latency.; NCS Ingress Queue
UNC_R3_RxR_OCCUPANCY_VN1.NDR,Accumulates the occupancy of a given QPI VN1  Ingress queue in each cycles.  This tracks one of the three ring Ingress buffers.  This can be used with the QPI VN1  Ingress Not Empty event to calculate average occupancy or the QPI VN1  Ingress Allocations event in order to calculate average queuing latency.; NDR Ingress Queue
UNC_R3_RxR_OCCUPANCY_VN1.SNP,Accumulates the occupancy of a given QPI VN1  Ingress queue in each cycles.  This tracks one of the three ring Ingress buffers.  This can be used with the QPI VN1  Ingress Not Empty event to calculate average occupancy or the QPI VN1  Ingress Allocations event in order to calculate average queuing latency.; SNP Ingress Queue
UNC_R3_SBO0_CREDIT_OCCUPANCY.AD,"Number of Sbo 0 credits in use in a given cycle, per ring."
UNC_R3_SBO0_CREDIT_OCCUPANCY.BL,"Number of Sbo 0 credits in use in a given cycle, per ring."
UNC_R3_SBO0_CREDITS_ACQUIRED.AD,"Number of Sbo 0 credits acquired in a given cycle, per ring."
UNC_R3_SBO0_CREDITS_ACQUIRED.BL,"Number of Sbo 0 credits acquired in a given cycle, per ring."
UNC_R3_SBO1_CREDIT_OCCUPANCY.AD,"Number of Sbo 1 credits in use in a given cycle, per ring."
UNC_R3_SBO1_CREDIT_OCCUPANCY.BL,"Number of Sbo 1 credits in use in a given cycle, per ring."
UNC_R3_SBO1_CREDITS_ACQUIRED.AD,"Number of Sbo 1 credits acquired in a given cycle, per ring."
UNC_R3_SBO1_CREDITS_ACQUIRED.BL,"Number of Sbo 1 credits acquired in a given cycle, per ring."
UNC_R3_STALL_NO_SBO_CREDIT.SBO0_AD,"Number of cycles Egress is stalled waiting for an Sbo credit to become available.  Per Sbo, per Ring."
UNC_R3_STALL_NO_SBO_CREDIT.SBO0_BL,"Number of cycles Egress is stalled waiting for an Sbo credit to become available.  Per Sbo, per Ring."
UNC_R3_STALL_NO_SBO_CREDIT.SBO1_AD,"Number of cycles Egress is stalled waiting for an Sbo credit to become available.  Per Sbo, per Ring."
UNC_R3_STALL_NO_SBO_CREDIT.SBO1_BL,"Number of cycles Egress is stalled waiting for an Sbo credit to become available.  Per Sbo, per Ring."
UNC_R3_TxR_NACK.DN_AD,AD CounterClockwise Egress Queue
UNC_R3_TxR_NACK.DN_AK,AK CounterClockwise Egress Queue
UNC_R3_TxR_NACK.DN_BL,BL CounterClockwise Egress Queue
UNC_R3_TxR_NACK.UP_AD,BL CounterClockwise Egress Queue
UNC_R3_TxR_NACK.UP_AK,AD Clockwise Egress Queue
UNC_R3_TxR_NACK.UP_BL,AD CounterClockwise Egress Queue
UNC_R3_VN0_CREDITS_REJECT.DRS,"Number of times a request failed to acquire a DRS VN0 credit.  In order for a request to be transferred across QPI, it must be guaranteed to have a flit buffer on the remote socket to sink into.  There are two credit pools, VNA and VN0.  VNA is a shared pool used to achieve high performance.  The VN0 pool has reserved entries for each message class and is used to prevent deadlock.  Requests first attempt to acquire a VNA credit, and then fall back to VN0 if they fail.  This therefore counts the number of times when a request failed to acquire either a VNA or VN0 credit and is delayed.  This should generally be a rare situation.; Filter for Data Response (DRS).  DRS is generally used to transmit data with coherency.  For example, remote reads and writes, or cache to cache transfers will transmit their data using DRS."
